,comment,label
0,dude dude stop busting ball,toxic
1,offended birther analogy consider analogy including title like dark moon apollo whistle blower bill kaysing see also section neil armstrong buzz aldrin fortunately book article yet stand amazon best seller list compared montford obviously moon landing hoax conspiracy theory quite bit obvious piece fringe nonsense yet sale figure would indicate taken seriously many except nasa partisan namely almost everybody,not_toxic
2,merge suggested article branding iron merged one,not_toxic
3,haha fuck edit page midarme cant mdiarme cant cause bitch wait,toxic
4,intended go page,not_toxic
5,know outback see outback hoe,toxic
6,file b jpg listed deletion image medium file uploaded altered file b jpg listed wikipedia image medium deletion please see discussion see may search title image find entry interested deleted talk,not_toxic
7,two show bookedboth think spending money,not_toxic
8,want pussy whipped im,toxic
9,suck dick fat fuck ing loser get life as hole,toxic
10,rt anyone hate charlie sheen httptcoaftmtmxu,not_toxic
11,bongwarrior homo sex prostitute bongwarrior homo sex prostitute fuck as like two men fuck as time like feeling anus stretched wide open also lick shit dick done,toxic
12,call grow live long sorry parent poor skill got old bitch,toxic
13,unrelated comment couple question advice since discussing interesting thing note interesting question open anyone groupuscle go noticeboard consensus agree evidence favor position article biased opinion continue article pov term trying reach rational conclusion good answer question beforehand feel free ignore course keep answer although also genuinely curious answer token even escalate always happy discus edits article generally anyone else always open convinced sufficient evidence,not_toxic
14,nig g e would done thing,toxic
15,rt da hoe cmon thru hatchys utica tdt rock dis biiaaaatch,toxic
16,bihday sweet person talented composer,not_toxic
17,provided plenty reference material yet provided none writing chamar section come source verifiable yet provided none one eccentric idiology still provided verifiable source show ramdasia chamar different chamars took weaving known ramdasia simple google search ramdasia chamar provide countless link bal,not_toxic
18,cant always serious lol hope everyone good night,not_toxic
19,sooooo may funny,toxic
20,may allah keep thm protection bless thm ameen,not_toxic
21,hate bitch think everyone want nasty as like youre cute,toxic
22,fuck ing joking as hole see make joke,toxic
23,mother fuck ing homo try getting life delete perfectly good article good reason insult maker account fault everyone attacking good nothing fuck fuck filter tried stop protect truth going keep happening people fuck ed friend stop salting hair freak look like goddamned hobo,toxic
24,guess got stalemate actaully searched keediz line like found nothing heard used tv load time really love child legal way hate adult treating like idiot never le threat taken acount yet finished site refrain posting anything keediz realated unless provide proof safe side ask hope neutral understanding remove pain,not_toxic
25,slurgnog dumb dip piece mush foggart,toxic
26,rt man call bitch yall arguing dont think really bitch actin like one,toxic
27,ged like penis,toxic
28,peruvian pay like,not_toxic
29,wuz making general statement ive never called u bitch,toxic
30,even like,not_toxic
31,hair would seriously go perm genetics stone cold bitch,toxic
32,new thing coming,not_toxic
33,thats one dick ead ive got two infact type surname meaning google try much retard,toxic
34,rt girl go talk hoe game strong,toxic
35,chemise cote azur someone enlighten u chemise cote azur lambiam,not_toxic
36,extension school high school summer course really brag worthy,not_toxic
37,yall folk basic ya parent racist im lawyering hoe beatin case,toxic
38,hey shit head quit fuck ing ufc page go get fuck ing life god damn mother fuck ing loser,toxic
39,realdonaldtrump pathetic whiny arrogant loser waaaa china unfair lemme sink america fur,toxic
40,save thousand free search x logins x broker,not_toxic
41,dont fw sloppy hoe might catch somethin,toxic
42,piss coming,toxic
